,language1,language2,distance
706,Afrikaans,Maori,90.1
707,Afrikaans,Marathi,78.4
708,Afrikaans,Mari,88.2
709,Afrikaans,Marwari,71.9
710,Afrikaans,Mon,85.1
711,Afrikaans,Mongolian,97.2
712,Afrikaans,Nayi,84.2
713,Afrikaans,Nenets,71.1
714,Afrikaans,Nepali,69.8
715,Afrikaans,Norwegian(bokmal),35.4
716,Afrikaans,Norwegian(nynorsk),28.8
717,Afrikaans,Oriya,65.7
718,Afrikaans,Oromo,88.9
719,Afrikaans,Oroqen,93.5
720,Afrikaans,Pashto,78.8
721,Afrikaans,Pennsylvania_Dutch,24.5
722,Afrikaans,Persian,83.7
723,Afrikaans,Polish,71.3
724,Afrikaans,Portuguese,63.8
725,Afrikaans,Provencal,63.4
726,Afrikaans,Punjabi,66.7
727,Afrikaans,Romanian,56.9
728,Afrikaans,Romansch,62.4
729,Afrikaans,Russian,64.8
730,Afrikaans,Sami,84.7
731,Afrikaans,Samoan,88.3
732,Afrikaans,Sardinian_L,60.0
733,Afrikaans,Sardinian_N,65.7
734,Afrikaans,Sariqoli,75.2
735,Afrikaans,Schwyzerduetsch,25.5
736,Afrikaans,Scots_(Scottish_English),23.8
737,Afrikaans,Scottish_Gaelic,82.2
738,Afrikaans,Serbian,64.8
739,Afrikaans,Shan,89.5
740,Afrikaans,Sheko,82.4
741,Afrikaans,Sindhi,72.7
742,Afrikaans,Sinhalese,79.8
743,Afrikaans,Slovak,68.5
744,Afrikaans,Slovene,64.8
745,Afrikaans,Somali,91.7
746,Afrikaans,Spanish,61.1
747,Afrikaans,Sranan,34.8
748,Afrikaans,Swahili,92.7
749,Afrikaans,Swedish,23.9
750,Afrikaans,Tagalog,86.9
751,Afrikaans,Tahitian,82.1
752,Afrikaans,Tajik,87.1
753,Afrikaans,Tamasheq,89.5
754,Afrikaans,Tamil,94.2
755,Afrikaans,Tashelhit,89.3
756,Afrikaans,Tatar,92.4
757,Afrikaans,Tausug,77.7
758,Afrikaans,Telugu,90.1
759,Afrikaans,Thai,86.9
760,Afrikaans,Tibetan,92.4
761,Afrikaans,Tigrigna,83.6
762,Afrikaans,Tmazight_(Riffian_Berber),83.8
763,Afrikaans,Tsakonian,81.7
764,Afrikaans,Turkish,96.5
765,Afrikaans,Turkmen,93.3
766,Afrikaans,Tuvan,95.4
767,Afrikaans,Ukrainian,64.8
768,Afrikaans,Urdu,69.9
769,Afrikaans,Uyghur,91.0
770,Afrikaans,Uzbek,89.6
771,Afrikaans,Veps,87.6
772,Afrikaans,Vietnamese,96.1
773,Afrikaans,Vlach,61.4
